============================================================
PPO Training Summary
============================================================

Training Time: 20251217_131313
Total Updates: 1200
Total Samples: 36000

------------------------------------------------------------
Training Progress:
------------------------------------------------------------
Update 88: Return=-2552.64, Acceptance=93.33%, Samples=30
Update 89: Return=-1338.11, Acceptance=93.33%, Samples=30
Update 90: Return=-2043.81, Acceptance=96.67%, Samples=30
Update 91: Return=-1385.66, Acceptance=96.67%, Samples=30
Update 92: Return=-2123.62, Acceptance=93.33%, Samples=30
Update 93: Return=-1417.06, Acceptance=93.33%, Samples=30
Update 94: Return=-2560.32, Acceptance=93.33%, Samples=30
Update 95: Return=-1557.59, Acceptance=93.33%, Samples=30
Update 96: Return=-2314.87, Acceptance=93.33%, Samples=30
Update 97: Return=-1381.91, Acceptance=96.67%, Samples=30
Update 98: Return=-1944.22, Acceptance=96.67%, Samples=30
Update 99: Return=-1448.00, Acceptance=93.33%, Samples=30
Update 100: Return=-1359.45, Acceptance=96.67%, Samples=30
Update 101: Return=-1683.53, Acceptance=93.33%, Samples=30
Update 102: Return=-2148.39, Acceptance=93.33%, Samples=30
Update 103: Return=-2104.59, Acceptance=96.67%, Samples=30
Update 104: Return=-1464.63, Acceptance=93.33%, Samples=30
Update 105: Return=-1921.31, Acceptance=93.33%, Samples=30
Update 106: Return=-1545.05, Acceptance=93.33%, Samples=30
Update 107: Return=-2144.64, Acceptance=93.33%, Samples=30
Update 108: Return=-2373.09, Acceptance=93.33%, Samples=30
Update 109: Return=-1715.02, Acceptance=93.33%, Samples=30
Update 110: Return=-1694.07, Acceptance=93.33%, Samples=30
Update 111: Return=-1523.17, Acceptance=96.67%, Samples=30
Update 112: Return=-2604.93, Acceptance=93.33%, Samples=30
Update 113: Return=-2115.10, Acceptance=93.33%, Samples=30
Update 114: Return=-1998.08, Acceptance=93.33%, Samples=30
Update 115: Return=-1447.69, Acceptance=93.33%, Samples=30
Update 116: Return=-3094.13, Acceptance=93.33%, Samples=30
Update 117: Return=-1907.94, Acceptance=93.33%, Samples=30
Update 118: Return=-1181.41, Acceptance=93.33%, Samples=30
Update 119: Return=-1390.36, Acceptance=96.67%, Samples=30
Update 120: Return=-1101.30, Acceptance=93.33%, Samples=30
