Round,finetuned,ga,gal-vne,greedy,pretrain
20,95.57522123893806,93.80530973451327,89.82300884955751,89.82300884955751,95.57522123893806
30,82.30088495575221,81.41592920353983,75.66371681415929,75.66371681415929,82.30088495575221
40,74.33628318584071,73.45132743362832,67.69911504424779,68.58407079646017,74.33628318584071
