Round,finetuned,ga,gal-vne,greedy,pretrain
0.05,-1.9105691056910568,-5.030487804878049,-3.432926829268293,-4.065040650406504,-1.0284552845528456
0.1,-2.6021529888551163,-7.554787234042554,-4.556053698074975,-5.620618034447821,-2.175734549138804
0.2,-4.291761363636363,-9.44694264069264,-7.67339015151515,-8.807007575757577,-4.162026515151515
0.3,-5.894553691922113,-12.223411117435022,-13.142452284557548,-12.737536148062464,-5.770734528629266
0.4,-7.152914614121512,-14.800372023809524,-14.684080459770115,-15.210804597701149,-6.955500821018062
0.5,-7.772563676633445,-15.567893217893218,-16.04347314507198,-16.640634920634923,-7.660423588039867
