============================================================
PPO Training Summary
============================================================

Training Time: 20251210_172957
Total Updates: 1000
Total Samples: 20000

------------------------------------------------------------
Training Progress:
------------------------------------------------------------
Update 1: Return=-944.00, Acceptance=100.00%, Samples=20
Update 2: Return=-564.04, Acceptance=100.00%, Samples=20
Update 3: Return=-815.74, Acceptance=95.00%, Samples=20
Update 4: Return=-986.02, Acceptance=95.00%, Samples=20
Update 5: Return=-1211.87, Acceptance=100.00%, Samples=20
Update 6: Return=-918.30, Acceptance=100.00%, Samples=20
Update 7: Return=-1011.62, Acceptance=95.00%, Samples=20
Update 8: Return=-1449.25, Acceptance=95.00%, Samples=20
Update 9: Return=-864.59, Acceptance=100.00%, Samples=20
Update 10: Return=-858.72, Acceptance=100.00%, Samples=20
Update 11: Return=-1422.50, Acceptance=100.00%, Samples=20
Update 12: Return=-592.35, Acceptance=100.00%, Samples=20
Update 13: Return=-1293.63, Acceptance=95.00%, Samples=20
Update 14: Return=-880.31, Acceptance=100.00%, Samples=20
Update 15: Return=-595.43, Acceptance=95.00%, Samples=20
Update 16: Return=-1161.42, Acceptance=100.00%, Samples=20
Update 17: Return=-1620.84, Acceptance=95.00%, Samples=20
Update 18: Return=-844.53, Acceptance=95.00%, Samples=20
Update 19: Return=-1101.73, Acceptance=100.00%, Samples=20
Update 20: Return=-1015.83, Acceptance=95.00%, Samples=20
Update 21: Return=-667.04, Acceptance=100.00%, Samples=20
Update 22: Return=-758.10, Acceptance=100.00%, Samples=20
Update 23: Return=-1082.48, Acceptance=100.00%, Samples=20
Update 24: Return=-1795.95, Acceptance=95.00%, Samples=20
Update 25: Return=-707.00, Acceptance=95.00%, Samples=20
Update 26: Return=-1494.85, Acceptance=95.00%, Samples=20
Update 27: Return=-1642.39, Acceptance=95.00%, Samples=20
Update 28: Return=-899.89, Acceptance=95.00%, Samples=20
Update 29: Return=-1301.29, Acceptance=95.00%, Samples=20
Update 30: Return=-777.13, Acceptance=95.00%, Samples=20
Update 31: Return=-1147.07, Acceptance=95.00%, Samples=20
Update 32: Return=-1299.01, Acceptance=95.00%, Samples=20
Update 33: Return=-1081.10, Acceptance=95.00%, Samples=20
Update 34: Return=-646.28, Acceptance=100.00%, Samples=20
Update 35: Return=-1350.75, Acceptance=95.00%, Samples=20
Update 36: Return=-875.26, Acceptance=95.00%, Samples=20
Update 37: Return=-1163.86, Acceptance=100.00%, Samples=20
Update 38: Return=-704.33, Acceptance=100.00%, Samples=20
Update 39: Return=-1476.14, Acceptance=95.00%, Samples=20
Update 40: Return=-1331.97, Acceptance=95.00%, Samples=20
Update 41: Return=-833.39, Acceptance=100.00%, Samples=20
Update 42: Return=-1014.49, Acceptance=95.00%, Samples=20
Update 43: Return=-1033.06, Acceptance=95.00%, Samples=20
Update 44: Return=-806.75, Acceptance=100.00%, Samples=20
Update 45: Return=-867.96, Acceptance=95.00%, Samples=20
Update 46: Return=-1026.01, Acceptance=95.00%, Samples=20
Update 47: Return=-716.40, Acceptance=100.00%, Samples=20
Update 48: Return=-600.84, Acceptance=100.00%, Samples=20
Update 49: Return=-883.28, Acceptance=100.00%, Samples=20
Update 50: Return=-1008.15, Acceptance=100.00%, Samples=20
Update 51: Return=-723.89, Acceptance=100.00%, Samples=20
Update 52: Return=-911.46, Acceptance=95.00%, Samples=20
Update 53: Return=-1550.25, Acceptance=95.00%, Samples=20
Update 54: Return=-967.10, Acceptance=95.00%, Samples=20
Update 55: Return=-914.72, Acceptance=100.00%, Samples=20
Update 56: Return=-1899.49, Acceptance=95.00%, Samples=20
Update 57: Return=-1634.85, Acceptance=95.00%, Samples=20
Update 58: Return=-1276.12, Acceptance=100.00%, Samples=20
Update 59: Return=-992.34, Acceptance=100.00%, Samples=20
Update 60: Return=-995.65, Acceptance=95.00%, Samples=20
Update 61: Return=-1166.12, Acceptance=100.00%, Samples=20
Update 62: Return=-938.75, Acceptance=100.00%, Samples=20
Update 63: Return=-1241.81, Acceptance=95.00%, Samples=20
Update 64: Return=-1351.07, Acceptance=95.00%, Samples=20
Update 65: Return=-794.26, Acceptance=95.00%, Samples=20
Update 66: Return=-1390.73, Acceptance=95.00%, Samples=20
Update 67: Return=-1715.31, Acceptance=95.00%, Samples=20
Update 68: Return=-1057.78, Acceptance=100.00%, Samples=20
Update 69: Return=-713.89, Acceptance=95.00%, Samples=20
Update 70: Return=-1068.97, Acceptance=95.00%, Samples=20
Update 71: Return=-767.51, Acceptance=100.00%, Samples=20
Update 72: Return=-1241.21, Acceptance=95.00%, Samples=20
Update 73: Return=-1099.24, Acceptance=95.00%, Samples=20
Update 74: Return=-829.10, Acceptance=95.00%, Samples=20
Update 75: Return=-808.05, Acceptance=100.00%, Samples=20
Update 76: Return=-742.15, Acceptance=100.00%, Samples=20
Update 77: Return=-970.72, Acceptance=95.00%, Samples=20
Update 78: Return=-891.66, Acceptance=95.00%, Samples=20
Update 79: Return=-1343.10, Acceptance=100.00%, Samples=20
Update 80: Return=-518.28, Acceptance=100.00%, Samples=20
Update 81: Return=-1012.45, Acceptance=100.00%, Samples=20
Update 82: Return=-610.53, Acceptance=100.00%, Samples=20
Update 83: Return=-1315.40, Acceptance=95.00%, Samples=20
Update 84: Return=-1275.95, Acceptance=95.00%, Samples=20
Update 85: Return=-1160.70, Acceptance=100.00%, Samples=20
Update 86: Return=-1816.03, Acceptance=95.00%, Samples=20
Update 87: Return=-523.03, Acceptance=100.00%, Samples=20
Update 88: Return=-1628.02, Acceptance=95.00%, Samples=20
Update 89: Return=-809.65, Acceptance=95.00%, Samples=20
Update 90: Return=-1181.15, Acceptance=100.00%, Samples=20
Update 91: Return=-826.62, Acceptance=100.00%, Samples=20
Update 92: Return=-1291.57, Acceptance=95.00%, Samples=20
Update 93: Return=-624.77, Acceptance=100.00%, Samples=20
Update 94: Return=-1503.79, Acceptance=95.00%, Samples=20
Update 95: Return=-1048.64, Acceptance=95.00%, Samples=20
Update 96: Return=-1500.44, Acceptance=95.00%, Samples=20
Update 97: Return=-838.20, Acceptance=100.00%, Samples=20
Update 98: Return=-1085.01, Acceptance=100.00%, Samples=20
Update 99: Return=-818.24, Acceptance=95.00%, Samples=20
