Round,finetuned,ga,gal-vne,greedy,pretrain
1,-4.291761363636363,-9.44694264069264,-7.67339015151515,-8.807007575757577,-4.162026515151515
2,-5.272002801120449,-11.99906413432425,-11.010420168067226,-11.119075630252098,-5.417983193277311
3,-6.381529133392489,-12.042857142857141,-13.35399290150843,-13.265468796214138,-6.393729665779356
4,-6.958241758241759,-14.064212228101118,-13.186858974358975,-13.905769230769232,-6.611981074481075
5,-7.310437051532943,-13.959966422466422,-16.03621983039791,-15.13162100456621,-7.319455316373126
6,-8.279092805005215,-17.404969638862255,-18.58166492874522,-18.12851929092805,-7.850903719151895
