Round,finetuned,ga,gal-vne,greedy,pretrain
15,-4.291761363636363,-9.44694264069264,-7.67339015151515,-8.807007575757577,-4.962026515151515
20,-5.272002801120449,-11.99906413432425,-11.010420168067226,-11.119075630252098,-6.417983193277311
25,-6.381529133392489,-13.35399290150843,-12.042857142857141,-13.265468796214138,-7.893729665779356
30,-6.958241758241759,-14.064212228101118,-13.186858974358975,-13.905769230769232,-8.811981074481075
35,-7.310437051532943,-16.03621983039791,-13.959966422466422,-15.13162100456621,-9.519455316373126
40,-8.279092805005215,-18.12851929092805,-17.404969638862255,-18.58166492874522,-12.150903719151895
