Round,finetuned,ga,gal-vne,greedy,pretrain
0.05,-1.9105691056910568,-5.030487804878049,-3.432926829268293,-4.065040650406504,-2.4284552845528456
0.1,-2.6021529888551163,-7.554787234042554,-4.556053698074975,-5.620618034447821,-3.875734549138804
0.2,-4.291761363636363,-9.44694264069264,-7.67339015151515,-8.807007575757577,-6.162026515151515
0.3,-5.894553691922113,-13.142452284557548,-12.223411117435022,-12.737536148062464,-8.270734528629266
0.4,-7.152914614121512,-14.800372023809524,-14.684080459770115,-15.210804597701149,-9.655500821018062
0.5,-7.772563676633445,-16.04347314507198,-15.567893217893218,-16.640634920634923,-10.560423588039867
