============================================================
PPO Training Summary
============================================================

Training Time: 20251210_134825
Total Updates: 200
Total Samples: 3000

------------------------------------------------------------
Training Progress:
------------------------------------------------------------
Update 105: Return=-606.44, Acceptance=86.67%, Samples=15
Update 106: Return=-160.27, Acceptance=100.00%, Samples=15
Update 107: Return=-355.87, Acceptance=93.33%, Samples=15
Update 108: Return=-372.58, Acceptance=93.33%, Samples=15
Update 109: Return=-583.00, Acceptance=86.67%, Samples=15
Update 110: Return=-508.82, Acceptance=93.33%, Samples=15
Update 111: Return=-311.05, Acceptance=100.00%, Samples=15
Update 112: Return=-226.60, Acceptance=100.00%, Samples=15
Update 113: Return=-209.38, Acceptance=100.00%, Samples=15
Update 114: Return=-387.97, Acceptance=100.00%, Samples=15
Update 115: Return=-159.32, Acceptance=100.00%, Samples=15
Update 116: Return=-170.44, Acceptance=100.00%, Samples=15
Update 117: Return=-492.24, Acceptance=93.33%, Samples=15
Update 118: Return=-256.48, Acceptance=100.00%, Samples=15
Update 119: Return=-121.11, Acceptance=100.00%, Samples=15
Update 120: Return=-248.98, Acceptance=100.00%, Samples=15
Update 121: Return=-189.42, Acceptance=100.00%, Samples=15
Update 122: Return=-414.59, Acceptance=93.33%, Samples=15
Update 123: Return=-235.93, Acceptance=100.00%, Samples=15
Update 124: Return=-215.73, Acceptance=100.00%, Samples=15
Update 125: Return=-255.59, Acceptance=100.00%, Samples=15
Update 126: Return=-212.78, Acceptance=100.00%, Samples=15
Update 127: Return=-897.60, Acceptance=80.00%, Samples=15
Update 128: Return=-215.07, Acceptance=100.00%, Samples=15
Update 129: Return=-200.23, Acceptance=100.00%, Samples=15
Update 130: Return=-338.08, Acceptance=93.33%, Samples=15
Update 131: Return=-342.10, Acceptance=93.33%, Samples=15
Update 132: Return=-531.18, Acceptance=93.33%, Samples=15
Update 133: Return=-317.47, Acceptance=100.00%, Samples=15
Update 134: Return=-707.37, Acceptance=86.67%, Samples=15
Update 135: Return=-760.44, Acceptance=86.67%, Samples=15
Update 136: Return=-234.45, Acceptance=100.00%, Samples=15
Update 137: Return=-534.77, Acceptance=86.67%, Samples=15
Update 138: Return=-1081.27, Acceptance=73.33%, Samples=15
Update 139: Return=-424.48, Acceptance=93.33%, Samples=15
Update 140: Return=-203.58, Acceptance=100.00%, Samples=15
Update 141: Return=-642.66, Acceptance=86.67%, Samples=15
Update 142: Return=-177.98, Acceptance=100.00%, Samples=15
Update 143: Return=-456.32, Acceptance=93.33%, Samples=15
Update 144: Return=-146.88, Acceptance=100.00%, Samples=15
Update 145: Return=-354.72, Acceptance=93.33%, Samples=15
Update 146: Return=-158.32, Acceptance=100.00%, Samples=15
Update 147: Return=-194.68, Acceptance=100.00%, Samples=15
Update 148: Return=-212.27, Acceptance=100.00%, Samples=15
Update 149: Return=-406.95, Acceptance=93.33%, Samples=15
Update 150: Return=-381.40, Acceptance=93.33%, Samples=15
Update 151: Return=-143.38, Acceptance=100.00%, Samples=15
Update 152: Return=-256.92, Acceptance=100.00%, Samples=15
Update 153: Return=-137.30, Acceptance=100.00%, Samples=15
Update 154: Return=-182.63, Acceptance=100.00%, Samples=15
Update 155: Return=-150.12, Acceptance=100.00%, Samples=15
